buffer_fill_level; old_prod_time_ms; new_prod_time_ms
1; 100.000000; 90.000000
2; 90.000000; 81.000000
3; 81.000000; 72.900002
5; 72.900002; 65.610001
7; 65.610001; 59.049000
9; 59.049000; 53.144100
12; 53.144100; 47.829689
15; 47.829689; 43.046719
19; 43.046719; 38.742046
23; 38.742046; 38.742046
27; 38.742046; 38.742046
31; 38.742046; 38.742046
36; 38.742046; 38.742046
40; 38.742046; 38.742046
44; 38.742046; 38.742046
48; 38.742046; 38.742046
52; 38.742046; 38.742046
57; 38.742046; 38.742046
61; 38.742046; 42.616253
65; 42.616253; 46.877880
68; 46.877880; 51.565670
71; 51.565670; 56.722237
74; 56.722237; 62.394463
76; 62.394463; 68.633911
78; 68.633911; 75.497307
80; 75.497307; 83.047043
81; 83.047043; 91.351746
82; 91.351746; 100.486923
83; 100.486923; 110.535622
84; 110.535622; 121.589188
85; 121.589188; 133.748108
85; 133.748108; 147.122925
86; 147.122925; 161.835220
86; 161.835220; 178.018753
86; 178.018753; 195.820633
86; 195.820633; 215.402695
86; 215.402695; 236.942963
86; 236.942963; 260.637268
86; 260.637268; 286.700989
86; 286.700989; 315.371094
85; 315.371094; 346.908203
85; 346.908203; 381.599030
85; 381.599030; 419.758942
84; 419.758942; 461.734833
84; 461.734833; 507.908325
83; 507.908325; 558.699158
82; 558.699158; 614.569092
82; 614.569092; 676.026001
81; 676.026001; 743.628601
80; 743.628601; 817.991455
80; 817.991455; 899.790649
79; 899.790649; 989.769714
78; 989.769714; 1000.000000
77; 1000.000000; 1000.000000
77; 1000.000000; 1000.000000
76; 1000.000000; 1000.000000
75; 1000.000000; 1000.000000
74; 1000.000000; 1000.000000
73; 1000.000000; 1000.000000
73; 1000.000000; 1000.000000
72; 1000.000000; 1000.000000
71; 1000.000000; 1000.000000
70; 1000.000000; 1000.000000
69; 1000.000000; 1000.000000
69; 1000.000000; 1000.000000
68; 1000.000000; 1000.000000
67; 1000.000000; 1000.000000
66; 1000.000000; 1000.000000
65; 1000.000000; 1000.000000
65; 1000.000000; 1000.000000
64; 1000.000000; 1000.000000
63; 1000.000000; 1000.000000
62; 1000.000000; 1000.000000
61; 1000.000000; 1000.000000
61; 1000.000000; 1000.000000
60; 1000.000000; 1000.000000
59; 1000.000000; 1000.000000
58; 1000.000000; 1000.000000
57; 1000.000000; 1000.000000
57; 1000.000000; 1000.000000
56; 1000.000000; 1000.000000
55; 1000.000000; 1000.000000
54; 1000.000000; 1000.000000
54; 1000.000000; 1000.000000
53; 1000.000000; 1000.000000
52; 1000.000000; 1000.000000
51; 1000.000000; 1000.000000
